originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2007,regionflow_2009,regionflow_2011,regionflow_2013,countryflow_2007,countryflow_2009,countryflow_2011,countryflow_2013
1,North America,1,North America,BMU,Bermuda,CAN,Canada,524232,392303,543024,597945,0,0,0,0
1,North America,1,North America,BMU,Bermuda,USA,United States,524232,392303,543024,597945,0,0,0,6
1,North America,1,North America,CAN,Canada,BMU,Bermuda,524232,392303,543024,597945,55,50,74,39
1,North America,1,North America,CAN,Canada,USA,United States,524232,392303,543024,597945,310480,219799,308653,345740
1,North America,1,North America,USA,United States,BMU,Bermuda,524232,392303,543024,597945,591,762,550,488
1,North America,1,North America,USA,United States,CAN,Canada,524232,392303,543024,597945,213107,171692,233746,251672
1,North America,2,Latin America,BMU,Bermuda,MEX,Mexico,224787,210051,323792,357814,0,0,0,0
1,North America,2,Latin America,CAN,Canada,ABW,Aruba,224787,210051,323792,357814,11,5,6,15
1,North America,2,Latin America,CAN,Canada,ARG,Argentina,224787,210051,323792,357814,208,137,476,275
1,North America,2,Latin America,CAN,Canada,ATG,Antigua and Barbuda,224787,210051,323792,357814,16,18,10,16
1,North America,2,Latin America,CAN,Canada,BHS,Bahamas,224787,210051,323792,357814,85,128,128,188
1,North America,2,Latin America,CAN,Canada,BLZ,Belize,224787,210051,323792,357814,6,5,5,8
1,North America,2,Latin America,CAN,Canada,BOL,Bolivia,224787,210051,323792,357814,11,9,15,26
1,North America,2,Latin America,CAN,Canada,BRA,Brazil,224787,210051,323792,357814,1302,1292,2742,2401
1,North America,2,Latin America,CAN,Canada,BRB,Barbados,224787,210051,323792,357814,50,47,44,147
1,North America,2,Latin America,CAN,Canada,CHL,Chile,224787,210051,323792,357814,599,517,787,785
1,North America,2,Latin America,CAN,Canada,COL,Colombia,224787,210051,323792,357814,527,500,735,696
1,North America,2,Latin America,CAN,Canada,CRI,Costa Rica,224787,210051,323792,357814,71,66,157,112
1,North America,2,Latin America,CAN,Canada,CUB,Cuba,224787,210051,323792,357814,377,220,362,455
1,North America,2,Latin America,CAN,Canada,CUW,Curacao,224787,210051,323792,357814,0,0,131,43
1,North America,2,Latin America,CAN,Canada,CYM,Cayman Islands,224787,210051,323792,357814,51,6,7,58
1,North America,2,Latin America,CAN,Canada,DMA,Dominica,224787,210051,323792,357814,4,4,4,5
1,North America,2,Latin America,CAN,Canada,DOM,Dominican Republic,224787,210051,323792,357814,168,108,140,150
1,North America,2,Latin America,CAN,Canada,ECU,Ecuador,224787,210051,323792,357814,211,224,273,295
1,North America,2,Latin America,CAN,Canada,GRD,Grenada,224787,210051,323792,357814,6,5,4,5
1,North America,2,Latin America,CAN,Canada,GTM,Guatemala,224787,210051,323792,357814,115,95,105,97
1,North America,2,Latin America,CAN,Canada,GUY,Guyana,224787,210051,323792,357814,24,24,36,19
1,North America,2,Latin America,CAN,Canada,HND,Honduras,224787,210051,323792,357814,41,28,43,44
1,North America,2,Latin America,CAN,Canada,HTI,Haiti,224787,210051,323792,357814,25,34,37,37
1,North America,2,Latin America,CAN,Canada,JAM,Jamaica,224787,210051,323792,357814,177,104,107,120
1,North America,2,Latin America,CAN,Canada,KNA,St Kitts and Nevis,224787,210051,323792,357814,8,5,5,8
1,North America,2,Latin America,CAN,Canada,LCA,St Lucia,224787,210051,323792,357814,14,9,9,11
1,North America,2,Latin America,CAN,Canada,MEX,Mexico,224787,210051,323792,357814,4011,3371,4722,5272
1,North America,2,Latin America,CAN,Canada,NIC,Nicaragua,224787,210051,323792,357814,18,15,34,33
1,North America,2,Latin America,CAN,Canada,PAN,Panama,224787,210051,323792,357814,69,66,92,93
1,North America,2,Latin America,CAN,Canada,PER,Peru,224787,210051,323792,357814,271,343,493,591
1,North America,2,Latin America,CAN,Canada,PRY,Paraguay,224787,210051,323792,357814,7,5,12,18
1,North America,2,Latin America,CAN,Canada,SLV,El Salvador,224787,210051,323792,357814,43,43,35,42
1,North America,2,Latin America,CAN,Canada,SUR,Suriname,224787,210051,323792,357814,8,10,12,16
1,North America,2,Latin America,CAN,Canada,TCA,Turks and Caicos Isl,224787,210051,323792,357814,11,5,2,2
